Station,Line,AdmArea,global_id,District,Status,ID,Unnamed: 7
Третьяковская,Калининская линия,Центральный административный округ,58701962,район Замоскворечье,действует,136,
Медведково,Калужско-Рижская линия,Северо-Восточный административный округ,58701963,район Северное Медведково,действует,86,
Первомайская,Арбатско-Покровская линия,Восточный административный округ,58701964,район Измайлово,действует,41,
Калужская,Калужско-Рижская линия,Юго-Западный административный округ,58701965,Обручевский район,действует,104,
Каховская,Большая кольцевая линия,Юго-Западный административный округ,58701966,район Зюзино,строится,251,
Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,Юго-Западный административный округ,58701967,район Южное Бутово,действует,184,
Павелецкая,Замоскворецкая линия,Центральный административный округ,58701968,район Замоскворечье,действует,28,
Волжская,Люблинско-Дмитровская линия,Юго-Восточный административный округ,58701969,район Кузьминки,действует,172,
Шаболовская,Калужско-Рижская линия,Южный административный округ,58701970,Донской район,действует,99,
Плющиха,Солнцевская линия,Центральный административный округ,58701971,район Арбат,строится,221,
Тимирязевская,Серпуховско-Тимирязевская линия,Северный административный округ,58701972,Тимирязевский район,действует,142,
ВДНХ,Калужско-Рижская линия,Северо-Восточный административный округ,58701973,Останкинский район,действует,90,
Тверская,Замоскворецкая линия,Центральный административный округ,58701974,Тверской район,действует,31,
Фонвизинская,Люблинско-Дмитровская линия,Северо-Восточный административный округ,58701975,Бутырский район,действует,208,
Воронцовская,Большая кольцевая линия,Юго-Западный административный округ,58701976,Обручевский район,строится,249,
Дмитровская,Серпуховско-Тимирязевская линия,Северо-Восточный административный округ,58701978,Бутырский район,действует,143,
Новые Черёмушки,Калужско-Рижская линия,Юго-Западный административный округ,58701979,район Черёмушки,действует,103,
Улица Милашенкова,Московская монорельсовая транспортная система,Северо-Восточный административный округ,58701980,Бутырский район,действует,191,
Пушкинская,Таганско-Краснопресненская линия,Центральный административный округ,58701981,Тверской район,действует,119,
Маяковская,Замоскворецкая линия,Центральный административный округ,58701982,Тверской район,действует,32,
Нижегородская улица,Некрасовская линия,Юго-Восточный административный округ,58701983,Нижегородский район,строится,231,
Ботанический сад,Калужско-Рижская линия,Северо-Восточный административный округ,58701984,район Свиблово,действует,89,
Нижегородская улица,Большая кольцевая линия,Юго-Восточный административный округ,58701985,Нижегородский район,строится,256,
Белорусская,Замоскворецкая линия,Центральный административный округ,58701986,Тверской район,действует,33,
Варшавская,Каховская линия,Южный административный округ,58701987,район Москворечье-Сабурово,действует,180,
Красногвардейская,Замоскворецкая линия,Южный административный округ,58701988,район Зябликово,действует,20,
Комсомольская,Сокольническая линия,Центральный административный округ,58701989,Красносельский район,действует,6,
Нагатинская,Серпуховско-Тимирязевская линия,Южный административный округ,58701990,Нагорный район,действует,152,
Алтуфьево,Серпуховско-Тимирязевская линия,Северо-Восточный административный округ,58701991,район Бибирево,действует,137,
Новопеределкино,Солнцевская линия,Западный административный округ,58701992,район Ново-Переделкино,действует,268,
Автозаводская,Замоскворецкая линия,Южный административный округ,58701993,Даниловский район,действует,27,
Дорогомиловская,Солнцевская линия,Западный административный округ,58701994,район Дорогомилово,строится,220,
Текстильщики,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58701995,район Текстильщики,действует,125,
Кожуховская,Люблинско-Дмитровская линия,Юго-Восточный административный округ,58701996,Южнопортовый район,действует,170,
Марьино,Люблинско-Дмитровская линия,Юго-Восточный административный округ,58701997,район Марьино,действует,175,
Павелецкая,Кольцевая линия,Центральный административный округ,58701998,район Замоскворечье,действует,77,
Преображенская площадь,Сокольническая линия,Восточный административный округ,58701999,район Преображенское,действует,3,
Новослободская,Кольцевая линия,Центральный административный округ,58702000,Тверской район,действует,82,
Фили,Филёвская линия,Западный административный округ,58702001,район Филёвский Парк,действует,65,
Кунцевская,Большая кольцевая линия,Западный административный округ,58702002,район Кунцево,строится,244,
Домодедовская,Замоскворецкая линия,Южный административный округ,58702003,район Орехово-Борисово Южное,действует,21,
Мневники,Большая кольцевая линия,Северо-Западный административный округ,58702004,район Хорошёво-Мнёвники,строится,242,
Охотный ряд,Сокольническая линия,Центральный административный округ,58702005,Тверской район,действует,10,
Новокосино,Калининская линия,Восточный административный округ,58702006,район Новокосино,действует,129,
Курская,Кольцевая линия,Центральный административный округ,58702007,Басманный район,действует,79,
Лухмановская,Некрасовская линия,Восточный административный округ,58702008,район Косино-Ухтомский,действует,228,
Достоевская,Люблинско-Дмитровская линия,Центральный административный округ,58702009,Тверской район,действует,163,
Улица Новаторов,Большая кольцевая линия,Западный административный округ,58702010,район Проспект Вернадского,строится,248,
Международная,Филёвская линия,Центральный административный округ,58702011,Пресненский район,действует,73,
Борисово,Люблинско-Дмитровская линия,Южный административный округ,58702012,район Зябликово,действует,176,
Выставочный центр,Московская монорельсовая транспортная система,Северо-Восточный административный округ,58702013,Останкинский район,действует,188,
Беговая,Таганско-Краснопресненская линия,Центральный административный округ,58702014,Пресненский район,действует,116,
Терехово,Большая кольцевая линия,Северо-Западный административный округ,58702015,район Хорошёво-Мнёвники,строится,243,
Третьяковская,Солнцевская линия,Центральный административный округ,58702016,район Замоскворечье,строится,222,
Савёловская,Серпуховско-Тимирязевская линия,Северо-Восточный административный округ,58702017,Бутырский район,действует,144,
Волоколамская,Арбатско-Покровская линия,Северо-Западный административный округ,58702018,район Митино,действует,59,
Парк Победы,Солнцевская линия,Западный административный округ,58702019,район Дорогомилово,действует,218,
Чертановская,Серпуховско-Тимирязевская линия,Южный административный округ,58702020,район Чертаново Северное,действует,156,
Парк Победы,Арбатско-Покровская линия,Западный административный округ,58702021,район Дорогомилово,действует,52,
Филёвский парк,Филёвская линия,Западный административный округ,58702022,район Фили-Давыдково,действует,63,
Фрунзенская,Сокольническая линия,Центральный административный округ,58702023,район Хамовники,действует,14,
Кузнецкий мост,Таганско-Краснопресненская линия,Центральный административный округ,58702024,Мещанский район,действует,120,
Лубянка,Сокольническая линия,Центральный административный округ,58702025,Тверской район,действует,9,
Улица Сергея Эйзенштейна,Московская монорельсовая транспортная система,Северо-Восточный административный округ,58702026,Останкинский район,действует,187,
Водный стадион,Замоскворецкая линия,Северный административный округ,58702027,Головинский район,действует,38,
Улица 1905 года,Таганско-Краснопресненская линия,Центральный административный округ,58702028,Пресненский район,действует,117,
Ломоносовский проспект,Солнцевская линия,Западный административный округ,58702029,район Раменки,действует,224,
Марксистская,Калининская линия,Центральный административный округ,58702030,Таганский район,действует,135,
Боровское шоссе,Солнцевская линия,Западный административный округ,58702031,район Ново-Переделкино,действует,267,
Партизанская,Арбатско-Покровская линия,Восточный административный округ,58702032,район Измайлово,действует,43,
Улица академика Янгеля,Серпуховско-Тимирязевская линия,Южный административный округ,58702033,район Чертаново Южное,действует,159,
Краснопресненская,Кольцевая линия,Центральный административный округ,58702034,Пресненский район,действует,84,
Авиамоторная,Некрасовская линия,Юго-Восточный административный округ,58702035,район Лефортово,строится,230,
Чкаловская,Люблинско-Дмитровская линия,Центральный административный округ,58702036,Басманный район,действует,166,
Тульская,Серпуховско-Тимирязевская линия,Южный административный округ,58702037,Даниловский район,действует,151,
Лермонтовский проспект,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58702038,район Выхино-Жулебино,действует,204,
Спартак,Таганско-Краснопресненская линия,Северо-Западный административный округ,58702039,район Покровское-Стрешнево,действует,203,
Арбатская,Филёвская линия,Центральный административный округ,58702040,район Арбат,действует,70,
Аннино,Серпуховско-Тимирязевская линия,Южный административный округ,58702041,район Чертаново Южное,действует,160,
Севастопольская,Серпуховско-Тимирязевская линия,Юго-Западный административный округ,58702042,район Зюзино,действует,155,
Профсоюзная,Калужско-Рижская линия,Юго-Западный административный округ,58702043,Академический район,действует,102,
Арбатская,Арбатско-Покровская линия,Центральный административный округ,58702044,район Арбат,действует,49,
Улица Горчакова,Бутовская линия Лёгкого метро,Юго-Западный административный округ,58702045,район Южное Бутово,действует,185,
Мякинино,Арбатско-Покровская линия,Северо-Западный административный округ,58702046,район Строгино,действует,58,
Октябрьская,Калужско-Рижская линия,Центральный административный округ,58702047,район Якиманка,действует,98,
Пионерская,Филёвская линия,Западный административный округ,58702048,район Фили-Давыдково,действует,62,
Площадь Ильича,Калининская линия,Центральный административный округ,58702049,Таганский район,действует,134,
Рассказовка,Солнцевская линия,Новомосковский административный округ,58702050,поселение Внуковское,действует,269,
Нагатинский затон,Большая кольцевая линия,Южный административный округ,58702051,район Нагатинский Затон,строится,253,
Измайловская,Арбатско-Покровская линия,Восточный административный округ,58702052,район Измайлово,действует,42,
Косино,Некрасовская линия,Юго-Восточный административный округ,58702053,район Выхино-Жулебино,действует,226,
Битцевский парк,Бутовская линия Лёгкого метро,Юго-Западный административный округ,58702054,район Ясенево,действует,215,
Сокол,Замоскворецкая линия,Северный административный округ,58702055,район Сокол,действует,36,
Ржевская,Большая кольцевая линия,Центральный административный округ,58702056,Мещанский район,строится,261,
Сокольники,Большая кольцевая линия,Восточный административный округ,58702057,район Сокольники,строится,260,
Смоленская,Филёвская линия,Центральный административный округ,58702058,район Арбат,действует,69,
Каховская,Каховская линия,Юго-Западный административный округ,58702059,район Зюзино,действует,181,
Парк культуры,Сокольническая линия,Центральный административный округ,58702060,район Хамовники,действует,13,
Мичуринский проспект,Солнцевская линия,Западный административный округ,58702061,район Раменки,действует,263,
Котельники,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58702062,район Выхино-Жулебино,действует,206,
Библиотека имени Ленина,Сокольническая линия,Центральный административный округ,58702063,район Арбат,действует,11,
Некрасовка,Некрасовская линия,Юго-Восточный административный округ,58702064,район Некрасовка,действует,229,
Волгоградский проспект,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58702065,Южнопортовый район,действует,124,
Трубная,Люблинско-Дмитровская линия,Центральный административный округ,58702066,Мещанский район,действует,164,
Динамо,Замоскворецкая линия,Северный административный округ,58702067,район Аэропорт,действует,34,
Алексеевская,Калужско-Рижская линия,Северо-Восточный административный округ,58702068,Алексеевский район,действует,91,
Улица академика Королёва,Московская монорельсовая транспортная система,Северо-Восточный административный округ,58702070,Останкинский район,действует,189,
Планерная,Таганско-Краснопресненская линия,Северо-Западный административный округ,58702071,район Северное Тушино,действует,110,
Спортивная,Сокольническая линия,Центральный административный округ,58702072,район Хамовники,действует,15,
Аминьевское шоссе,Большая кольцевая линия,Западный административный округ,58702073,район Кунцево,строится,245,
Суворовская,Кольцевая линия,Центральный административный округ,58702074,Мещанский район,строится,201,
Таганская,Таганско-Краснопресненская линия,Центральный административный округ,58702075,Таганский район,действует,122,
Киевская,Арбатско-Покровская линия,Западный административный округ,58702076,район Дорогомилово,действует,51,
Театральная,Замоскворецкая линия,Центральный административный округ,58702077,Тверской район,действует,30,
Сокольники,Сокольническая линия,Восточный административный округ,58702078,район Сокольники,действует,4,
Деловой центр,Солнцевская линия,Центральный административный округ,58702079,Пресненский район,действует,217,
Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,Юго-Западный административный округ,58702080,район Северное Бутово,действует,161,
Шипиловская,Люблинско-Дмитровская линия,Южный административный округ,58702081,район Зябликово,действует,177,
Белорусская,Кольцевая линия,Центральный административный округ,58702083,Тверской район,действует,83,
Полянка,Серпуховско-Тимирязевская линия,Центральный административный округ,58702084,район Якиманка,действует,149,
Крылатское,Арбатско-Покровская линия,Западный административный округ,58702085,район Крылатское,действует,56,
Сходненская,Таганско-Краснопресненская линия,Северо-Западный административный округ,58702086,район Южное Тушино,действует,111,
Площадь Революции,Арбатско-Покровская линия,Центральный административный округ,58702087,Тверской район,действует,48,
Юго-Западная,Сокольническая линия,Западный административный округ,58702088,район Тропарёво-Никулино,действует,19,
Шоссе Энтузиастов,Калининская линия,Восточный административный округ,58702089,район Перово,действует,132,
Китай-город,Калужско-Рижская линия,Центральный административный округ,58702090,Тверской район,действует,96,
Щукинская,Таганско-Краснопресненская линия,Северо-Западный административный округ,58702091,район Щукино,действует,113,
Лесопарковая,Бутовская линия Лёгкого метро,Юго-Западный административный округ,58702092,район Северное Бутово,действует,216,
Новогиреево,Калининская линия,Восточный административный округ,58702093,район Новогиреево,действует,130,
Курская,Арбатско-Покровская линия,Центральный административный округ,58702094,Басманный район,действует,47,
Лефортово,Большая кольцевая линия,Юго-Восточный административный округ,58702095,район Лефортово,строится,258,
Очаково,Солнцевская линия,Западный административный округ,58702096,район Очаково-Матвеевское,строится,264,
Авиамоторная,Большая кольцевая линия,Юго-Восточный административный округ,58702097,район Лефортово,строится,257,
Минская,Солнцевская линия,Западный административный округ,58702098,район Дорогомилово,действует,223,
Студенческая,Филёвская линия,Западный административный округ,58702099,район Дорогомилово,действует,67,
Пражская,Серпуховско-Тимирязевская линия,Южный административный округ,58702100,район Чертаново Центральное,действует,158,
Парк культуры,Кольцевая линия,Центральный административный округ,58702101,район Хамовники,действует,74,
Аэропорт,Замоскворецкая линия,Северный административный округ,58702102,район Аэропорт,действует,35,
Проспект Мира,Кольцевая линия,Центральный административный округ,58702103,Мещанский район,действует,81,
Третьяковская,Калужско-Рижская линия,Центральный административный округ,58702104,район Замоскворечье,действует,97,
Марьина роща,Люблинско-Дмитровская линия,Северо-Восточный административный округ,58702105,район Марьина Роща,действует,162,
Китай-город,Таганско-Краснопресненская линия,Центральный административный округ,58702106,Тверской район,действует,121,
Авиамоторная,Калининская линия,Юго-Восточный административный округ,58702107,район Лефортово,действует,133,
Нахимовский проспект,Серпуховско-Тимирязевская линия,Юго-Западный административный округ,58702108,район Зюзино,действует,154,
Алма-Атинская,Замоскворецкая линия,Южный административный округ,58702109,район Братеево,действует,196,
Цветной бульвар,Серпуховско-Тимирязевская линия,Центральный административный округ,58702110,Тверской район,действует,146,
Окружная,Люблинско-Дмитровская линия,Северный административный округ,58702111,Тимирязевский район,действует,210,
Добрынинская,Кольцевая линия,Центральный административный округ,58702112,район Замоскворечье,действует,76,
Технопарк,Замоскворецкая линия,Южный административный округ,58702113,район Нагатино-Садовники,действует,197,
Серпуховская,Серпуховско-Тимирязевская линия,Центральный административный округ,58702114,район Замоскворечье,действует,150,
Каширская,Замоскворецкая линия,Южный административный округ,58702115,район Нагатино-Садовники,действует,25,
Жулебино,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58702116,район Выхино-Жулебино,действует,205,
Селигерская,Люблинско-Дмитровская линия,Северный административный округ,58702117,Бескудниковский район,действует,212,
